._. ._. chill_nn try_vbg drag_vb i_prp not_rb work_vbg pathetic_jj ?_. carter_nn cheat_vbn like_vb ?_.,anger
yall_nn hoe_nns needa_nn quit_vbd lie_vbg ugly_jj friend_nns lmao_vbp,anger
?_. ok_nn host_nn restaurant_nn ,_, wait_vbp seat_vbn ._. not_rb just_rb pick_vb damn_nn table_nn ._. not_rb free_jj ._. ?!_in,anger
niggas_nnp get_vbd i_prp bully_nn yo_nn !_. ?_. fuk_vb .._: everybody_nn catch_vbg bullet_nn hole_nns !_.,anger
i_prp fuuck_vbn last_jj night_nn,anger
human_jj not_rb animal_nn make_vbp problem_nn ?_. fuel_nn lead_nn ._. ._.,anger
needa_vbz leave_vb i_prp alone_rb fuck_vbp ._.,anger
go_vbg cough_vb face_nn next_jj aunty_nn touch_nns head_nn tell_vbz i_prp i_prp fever_nn ._. dont_jj touch_nn ._.,anger
reagan_nnp ,_, ronald_nnp must_md reject_vb idea_nn every_dt time_nn law_nns break_vbn ,_, society_nn guilty_jj rather_rb lawbreaker_nn tbyg_nn,anger
tactic_nn fm_nnp just_rb unfair_jj ._.,anger
i_prp always_rb want_vbd lilo_nnp beat_vb badly_rb,anger
dont_nnp ever_nnp call_nnp me_nnp bruh_nnp bitch_nnp ._. ._. talk_nnp me_nnp like_nnp a_nnp woman_nnp not_nnp gucci_nnp mane_nnp,anger
put_vbd spaghetti_nns,anger
pussy_nn nigga_nns want_vbp see_vb dead_jj ,_, pussy_vbp nigga_nns never_rb see_vbp bread_nn,anger
wheres_nnp flag_nn ?!?!?!?!?!?!?!?!?!?!?!_nn fuck_vb dirty_jj ass_nn eagle_nnp player_nns try_vbg hurt_vb odell_nnp beckham_nnp jr._nnp bunch_nn bast_nn,anger
remind_vb bitch_nns mind_vb business_nn ._.,anger
one_cd bc_nn bore_vbn drag_vbn around_in town_nn family_nn,anger
yall_nnp piss_vb i_prp every_dt week_nn,anger
i_prp fuck_vbp much_rb fuck_vbp i_prp,anger
i_prp just_rb want_vbp get_vb shit_nn,anger
play_nn call_vbg red_jj zone_nn horrible_jj year_nn ._. coaching_nn staff_nn need_vbz learn_vb make_vb adjustment_nns ._.,anger
smart_jj ass_nn class_nn rise_vbz hand_nn,anger
just_rb end_vb bullshit_nn leave_vbn,anger
-lsb-_-lrb- yoongi_jj voice_nn -rsb-_-rrb- i_prp aint_vbp backstabber_nn i_prp always_rb hit_vbd back_jj just_rb ask_vb bitch_nn i_prp already_rb fuck_vbd ?_.,anger
so_nnp overweight_jj yoga_nn pants_nns mall_nn ._. i_prp hope_vbp happy_jj just_rb ruin_vbd day_nn thanksobama_nnp,anger
practice_vb not_rb home_nn !_.,anger
go_vbd end_vb make_vbg i_prp real_jj fucked_nnp shit_nnp ,_, oml_nn ._.,anger
i_prp swear_vbp better_jjr not_rb ._.,anger
kareem_nnp abduljabbar_nnp police?like_nnp father_nn grandfather_nn not_rb attack_nn ._. racism_nn ._.,anger
canot_vbp convince_vb i_prp alex_nnp smith_nnp better_jjr chase_nnp daniel_nnp ._. canot_nnp ._.,anger
hack_vbn i_prp get_vbd back_rb leave_vbd alone_rb ._. account_nn yes_rb concern_nn i_prp ._.,anger
i_prp want_vbp death_nn snusnu_nnp,anger
nxgga_nnp act_vbg like_in hoe_nn ?_.,anger
?_. nephew_nn really_rb get_vbd fucking_jj roster_nns chicken_nns back_rb fuck_vbg coc_nn doodle_nn dooing_nn,anger
bruh_nnp better_jjr not_rb attitude_nn whole_jj way_nn .._: not_rb bouta_nn deal_nn naggin_nn shit_nn,anger
big_nnp fuck_nnp u_nnp too_nnp my_nnp kindergarden_nnp teacher_nnp fail_vbd,anger
pretend_vbp act_vb stupid_jj think_vbp cute_jj need_nn slap_vbn face_nn brick_nn,anger
please_vb unfollow_vb i_prp one_cd account_nns please_vb donot_jj think_nn i_prp lose_vbd weight_nn starve_vbg,anger
dont_jj ever_nns cheat_vbp pretty_rb ugly_jj bitch_nn ._. ._. thats_nnp like_nnp going_nnp from_nnp a_nnp ps_nnp ps_nnp,anger
i_prp wouldve_vbp bully_vbd,anger
no_dt pension_nn crisis_nn govt_nnp put_vbd cap_nn obscene_jj bank_nn fee_nns ripoff_vbp pension_nn,anger
part_nn busy_jj not_rb understand_vb,anger
i_prp ,_, i_prp mean_vbp ._. ill_nnp never_rb no_dt matter_nn many_jj time_nns i_prp ._.,anger
lmfao_nn ur_nn asshole_nn lol_nn,anger
life_nn bitch_nn ex_fw probably_rb get_vb along_rb ._. refuckingtweet_nnp,anger
bitch_nn cooking_jj no_dt ?_. i_prp havenot_vbp eat_vbd day_nn,anger
nigga_nns just_rb blast_vbg middle_nn day_nn,anger
classy_jj ._. dwelled_nnp long_rb ._. right_rb shocker_nn standard_nns !_. bug_vbd i_prp amount_nn poor_jj cross_nns,anger
tell_vbd i_prp want_vbd i_prp relationship_nn chloe_nn wiggin_nns ?_.,anger
focus_vbd i_prp want_vbp fuck_vb donot_vbp want_vb i_prp !_.,anger
wary_jj lord_nn flies_nnps esque_vbp mentality_nn take_vbg east_nnp coast_nnp train_nn ._. minute_nns late_jj train_nn guard_nn announce_vbn ._. ._.,anger
fckd_vbn !_. psn_nnp no_nn gran_nnp turismo_nnp ,_, no_nn !_. sony_nnp ,_, try_vbg ruin_vb life_nn !?!?_in whos_nnp stupid_jj mess_nn nk_nn ?_.,anger
everybody_nn blah_jj blah_jj blah_nn shit_nn i_prp need_vbp find_vb inner_nnp peace_nnp,anger
i_prp pep_nn alot_nn shit_nn just_rb keep_vb mouth_nn close_vbn ?_.,anger
fine_nn facebook_nnp ill_nnp look_vb year_nn review_nn ._. leave_vb me_nnp alone_nnp ?_.,anger
get_vbg even_rb mad_jj longer_jjr i_prp want_vbp ._.,anger
vote_nn scottish_jj labour_nn death_nn sentence_nn ._. labour_nnp spend_vb bn_nn trident_nnp ,_, continue_vbp austeritypoverty_nn sign_vb,anger
come_vb hate_nn state_nn tiny_jj little_rb well_rb think_vb beyond_in bigger_jjr problem_nn follower_nns not_rb religion_nn,anger
like_in i_prp not_rb i_prp,anger
gon_nnp na_to murder_nn someone_nn i_prp donot_vbp find_vb make_vb brush_nns,anger
true_jj ._. child_nns home_nn call_vbn three_cd ways_nnp ._. kid_nns wear_vbd uniform_nn even_rb sundays_nnps ._. dad_nn threaten_vbd i_prp ._.,anger
inexcuseable_jj game_nn official_nns didnot_vbp throw_vb flag_nn ,_, especially_rb nfl_nns emphasis_nn safety_nn ._.,anger
actually_rb impossible_jj room_nn stay_vb clean_jj longer_jjr hour_nns,anger
mufc_jj fan_nns must_md slap_nn much_jj moaning_nn ,_, boy_nns make_vbd proud_jj long_jj week_nns ,_, draw_nn isnt_vbd end_nn ,_, supper_nn,anger
go_vbg blow_vb yall_nns feed_vb ?_. kyleighnicole_nn,anger
yes_jj dude_nn yes_rb do_nnp we_nnp have_nnp same_nnp life_nn yes_rb creep_vbg,anger
donot_nnp get_vb mad_jj i_prp pull_vbp,anger
like_in donot_vbp see_vb i_prp something_nn god_nn please_vb respect_nn god_nnp holy_jj name_nn ._. ._. literally_rb i_prp ask_vbp,anger
wouldnot_jj dare_vbp let_vb somebody_nn talk_nn i_prp like_in ._.,anger
